Activity_Date,Department_ID,Department_Name,Actual_Employee_Count,Employees_Available_for_Work,Employees_on_Approved_Leave,Employees_Absent,Total_Overtime_Hours,Open_Position_Count,Critical_Open_Position_Count,Workforce_Availability_Percentage,Data_Refresh_Timestamp,Data_Quality_Status
2026-05-04,DEPARTMENT-001,HR,45,41,2,2,0,0,0,91.11,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-002,Finance,45,44,1,0,5,3,1,97.78,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-003,Sales,45,42,1,2,5,7,2,93.33,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-004,Customer Support,45,44,1,0,9,5,1,97.78,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-005,Engineering,45,41,4,0,0,9,3,91.11,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-006,Operations,45,38,4,3,6,6,2,84.44,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-007,IT,45,41,1,3,7,4,1,91.11,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-008,Medical Care,45,39,3,3,18,10,10,86.67,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-009,Training & Development,45,44,0,1,4,2,0,97.78,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-010,Administration & Facilities,45,43,2,0,5,0,0,95.56,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-011,Legal & Compliance,45,44,1,0,3,0,0,97.78,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-012,Procurement & Supply Chain,45,45,0,0,0,3,1,100.0,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-013,Logistics & Warehouse,45,41,1,3,11,8,2,91.11,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-014,Production & Manufacturing,45,41,1,3,22,11,11,91.11,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-015,Quality Assurance,45,43,1,1,11,5,1,95.56,2026-05-04T18:00:00+05:00,Validated
2026-05-04,DEPARTMENT-016,Research & Development,45,41,4,0,5,7,2,91.11,2026-05-04T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-001,HR,45,41,2,2,7,0,0,91.11,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-002,Finance,45,42,3,0,10,3,1,93.33,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-003,Sales,45,42,2,1,5,7,2,93.33,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-004,Customer Support,45,41,3,1,4,5,1,91.11,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-005,Engineering,45,41,2,2,0,9,3,91.11,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-006,Operations,45,39,3,3,12,6,2,86.67,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-007,IT,45,44,1,0,6,4,1,97.78,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-008,Medical Care,45,41,3,1,10,10,10,91.11,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-009,Training & Development,45,42,2,1,3,2,0,93.33,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-010,Administration & Facilities,45,42,3,0,12,0,0,93.33,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-011,Legal & Compliance,45,44,1,0,5,0,0,97.78,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-012,Procurement & Supply Chain,45,45,0,0,14,3,1,100.0,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-013,Logistics & Warehouse,45,40,3,2,16,8,2,88.89,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-014,Production & Manufacturing,45,42,1,2,10,11,11,93.33,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-015,Quality Assurance,45,40,4,1,4,5,1,88.89,2026-05-05T18:00:00+05:00,Validated
2026-05-05,DEPARTMENT-016,Research & Development,45,42,1,2,12,7,2,93.33,2026-05-05T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-001,HR,45,40,2,3,3,0,0,88.89,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-002,Finance,45,43,0,2,1,3,1,95.56,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-003,Sales,45,42,1,2,5,7,2,93.33,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-004,Customer Support,45,43,1,1,7,5,1,95.56,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-005,Engineering,45,40,4,1,8,9,3,88.89,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-006,Operations,45,43,2,0,9,6,2,95.56,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-007,IT,45,41,1,3,5,4,1,91.11,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-008,Medical Care,45,41,1,3,16,10,10,91.11,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-009,Training & Development,45,43,0,2,4,2,0,95.56,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-010,Administration & Facilities,45,42,3,0,8,0,0,93.33,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-011,Legal & Compliance,45,41,1,3,1,0,0,91.11,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-012,Procurement & Supply Chain,45,42,3,0,7,3,1,93.33,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-013,Logistics & Warehouse,45,42,0,3,18,8,2,93.33,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-014,Production & Manufacturing,45,44,1,0,15,11,11,97.78,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-015,Quality Assurance,45,44,1,0,11,5,1,97.78,2026-05-06T18:00:00+05:00,Validated
2026-05-06,DEPARTMENT-016,Research & Development,45,42,1,2,4,7,2,93.33,2026-05-06T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-001,HR,45,44,1,0,3,0,0,97.78,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-002,Finance,45,41,2,2,3,3,1,91.11,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-003,Sales,45,45,0,0,7,7,2,100.0,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-004,Customer Support,45,40,2,3,4,5,1,88.89,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-005,Engineering,45,45,0,0,4,9,3,100.0,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-006,Operations,45,43,2,0,2,6,2,95.56,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-007,IT,45,42,1,2,17,4,1,93.33,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-008,Medical Care,45,41,0,4,8,10,10,91.11,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-009,Training & Development,45,44,1,0,7,2,0,97.78,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-010,Administration & Facilities,45,42,3,0,12,0,0,93.33,2026-05-07T18:00:00+05:00,Validated
