Department_Budget_Record_ID,Budget_Month,Department_ID,Department_Name,Cost_Center_ID,Budgeted_Position_Count,Approved_Salary_and_Benefits_Budget,Recruitment_Budget,Training_and_Development_Budget,Overtime_Budget,Workforce_Contingency_Budget,Total_Approved_People_Budget,Actual_Salary_Cost,Actual_Benefits_Cost,Actual_Recruitment_Cost,Actual_Training_Cost,Actual_Overtime_Cost,Total_Actual_People_Cost,Remaining_People_Budget,Budget_Utilization_Percentage,Budget_Status,Budget_Currency,Data_As_Of_Date
DEPARTMENT-BUDGET-0001,2024-09-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,7591888,0,43000,151837,227756,8014481,6073511,1214702,0,38534,164700,7491447,523034,93.47,Watch,PKR,2024-09-28
DEPARTMENT-BUDGET-0002,2024-10-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,7591888,0,43000,151837,227756,8014481,6073511,1214702,0,42662,126141,7457016,557465,93.04,Watch,PKR,2024-10-28
DEPARTMENT-BUDGET-0003,2024-11-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,7591888,11299,42000,148306,227756,8021249,5932266,1186453,9985,39515,137839,7306058,715191,91.08,Within Budget,PKR,2024-11-28
DEPARTMENT-BUDGET-0004,2024-12-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,7591888,0,44000,155368,227756,8019012,6214755,1242951,0,35373,133677,7626756,392256,95.11,Watch,PKR,2024-12-28
DEPARTMENT-BUDGET-0005,2025-01-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,8199240,0,44000,155368,245977,8644585,6711936,1342387,0,43898,146132,8244353,400232,95.37,Watch,PKR,2025-01-28
DEPARTMENT-BUDGET-0006,2025-02-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,8199240,0,44000,155368,245977,8644585,6711936,1342387,0,32534,141519,8228376,416209,95.19,Watch,PKR,2025-02-28
DEPARTMENT-BUDGET-0007,2025-03-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,8199240,0,43000,151837,245977,8640054,6559392,1311878,0,29268,176989,8077527,562527,93.49,Watch,PKR,2025-03-28
DEPARTMENT-BUDGET-0008,2025-04-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,8199240,0,44000,155368,245977,8644585,6711936,1342387,0,29798,157572,8241693,402892,95.34,Watch,PKR,2025-04-28
DEPARTMENT-BUDGET-0009,2025-05-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,8199240,0,43000,151837,245977,8640054,6559392,1311878,0,32300,138847,8042417,597637,93.08,Watch,PKR,2025-05-28
DEPARTMENT-BUDGET-0010,2025-06-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,8199240,0,44000,155368,245977,8644585,6711936,1342387,0,32863,124215,8211401,433184,94.99,Watch,PKR,2025-06-28
DEPARTMENT-BUDGET-0011,2025-07-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,8199240,0,45000,158900,245977,8649117,6864480,1372896,0,28054,151164,8416594,232523,97.31,Watch,PKR,2025-07-28
DEPARTMENT-BUDGET-0012,2025-08-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,8199240,0,44000,155368,245977,8644585,6711936,1342387,0,39740,151624,8245687,398898,95.39,Watch,PKR,2025-08-28
DEPARTMENT-BUDGET-0013,2025-09-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,8199240,0,43000,151837,245977,8640054,6559392,1311878,0,37222,166452,8074944,565110,93.46,Watch,PKR,2025-09-28
DEPARTMENT-BUDGET-0014,2025-10-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,8199240,0,44000,155368,245977,8644585,6711936,1342387,0,35255,149327,8238905,405680,95.31,Watch,PKR,2025-10-28
DEPARTMENT-BUDGET-0015,2025-11-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,8199240,0,44000,155368,245977,8644585,6711936,1342387,0,39873,118543,8212739,431846,95.0,Watch,PKR,2025-11-28
DEPARTMENT-BUDGET-0016,2025-12-01,DEPARTMENT-001,HR,COST-CENTER-HR,43,8199240,0,44000,155368,245977,8644585,6711936,1342387,0,34318,122300,8210941,433644,94.98,Watch,PKR,2025-12-28
