Department_ID,Department,Business_Unit,Performance_Month,Employee_Count,Average_Performance_Score,Median_Performance_Score,Minimum_Performance_Score,Maximum_Performance_Score,Exceptional_Count,Strong_Count,Meets_Expectations_Count,Partially_Meets_Count,Improvement_Required_Count,Critical_KPI_Breach_Count,Average_Evidence_Quality,Data_As_Of_Date
DEPARTMENT-010,Administration & Facilities,Corporate Services,2025-09-01,45,82.4,82.94,64.07,94.76,5,26,13,1,0,0,0.91,2026-08-01
DEPARTMENT-004,Customer Support,Commercial Services,2025-09-01,45,81.32,82.51,66.25,90.82,2,26,16,1,0,0,0.89,2026-08-01
DEPARTMENT-005,Engineering,Technology and Innovation,2025-09-01,45,82.02,80.96,71.05,94.2,4,22,19,0,0,0,0.9,2026-08-01
DEPARTMENT-002,Finance,Corporate Services,2025-09-01,45,82.24,84.04,66.31,92.06,5,23,15,2,0,0,0.9,2026-08-01
DEPARTMENT-001,HR,Corporate Services,2025-09-01,45,82.46,80.87,71.88,92.28,6,24,15,0,0,0,0.9,2026-08-01
DEPARTMENT-007,IT,Technology and Innovation,2025-09-01,45,82.26,83.74,66.96,94.82,4,27,13,1,0,0,0.9,2026-08-01
DEPARTMENT-011,Legal & Compliance,Corporate Services,2025-09-01,45,81.41,81.3,68.81,97.06,5,21,18,1,0,0,0.91,2026-08-01
DEPARTMENT-013,Logistics & Warehouse,Enterprise Operations,2025-09-01,45,81.84,81.67,67.34,93.92,3,25,16,1,0,0,0.91,2026-08-01
DEPARTMENT-008,Medical Care,Healthcare Services,2025-09-01,45,81.46,79.95,66.04,95.49,6,15,23,1,0,0,0.91,2026-08-01
DEPARTMENT-006,Operations,Enterprise Operations,2025-09-01,45,80.82,81.05,67.3,92.05,2,24,16,3,0,0,0.89,2026-08-01
DEPARTMENT-012,Procurement & Supply Chain,Enterprise Operations,2025-09-01,45,81.52,81.13,65.8,94.05,7,20,14,4,0,0,0.91,2026-08-01
DEPARTMENT-014,Production & Manufacturing,Industrial Operations,2025-09-01,45,81.35,81.58,66.86,91.31,3,26,15,1,0,0,0.91,2026-08-01
DEPARTMENT-015,Quality Assurance,Industrial Operations,2025-09-01,45,82.54,82.43,72.77,93.45,3,27,15,0,0,0,0.91,2026-08-01
DEPARTMENT-016,Research & Development,Technology and Innovation,2025-09-01,45,81.72,82.22,65.29,91.08,3,24,17,1,0,0,0.91,2026-08-01
DEPARTMENT-003,Sales,Commercial Services,2025-09-01,45,79.52,79.8,69.56,91.11,1,20,23,1,0,0,0.89,2026-08-01
DEPARTMENT-009,Training & Development,Learning Services,2025-09-01,45,79.81,81.55,59.81,95.33,3,25,12,4,1,0,0.91,2026-08-01
