Dataset_Key,CSV_File,Supabase_Table,Purpose
profiles,Employee_Profile.csv,employee_profile,Decision Trigger employee profile input
performance_summary,Employee_Performance_Summary.csv,employee_performance_summary,Decision Trigger performance summary input
positions,Position_Master.csv,position_master,Decision Trigger position/criticality input
attrition,Final_Attrition_Dataset_200_Employees.csv,final_attrition_dataset,CatBoost attrition feature input
headcount_exceptions,Headcount_Exception_Register.csv,headcount_exception_register,Existing deterministic headcount exceptions
headcount_rules,Headcount_Management_Rules.csv,headcount_management_rules,Existing deterministic headcount thresholds
vacancy_history,Position_Vacancy_History.csv,position_vacancy_history,Vacancy age and criticality evidence
employee_profile,Employee_Profile.csv,employee_profile,Existing successor pipeline input
employee_experience,Employee_Experience.csv,employee_experience,Existing successor pipeline input
employee_performance,Employee_Performance.csv,employee_performance,Existing successor pipeline input
employee_attendance,Employee_Attendance.csv,employee_attendance,Existing successor pipeline input
employee_skills,Employee_Skills.csv,employee_skills,Existing successor pipeline input
position_master,Position_Master.csv,position_master,Existing successor pipeline input
position_requirements,Position_Requirements.csv,position_requirements,Existing successor pipeline input
position_skill_requirements,Position_Skill_Requirements.csv,position_skill_requirements,Existing successor pipeline input
skill_catalog,Skill_Catalog.csv,skill_catalog,Existing successor pipeline input
