Scenario_Assumption_ID,Scenario_Name,Department_ID,Department_Name,Hiring_Plan_Adjustment_Percentage,Attrition_Rate_Adjustment_Percentage,People_Budget_Adjustment_Percentage,Business_Demand_Adjustment_Percentage,Planned_Transfer_In_Count,Planned_Transfer_Out_Count,Planned_Position_Freeze_Count,Scenario_Horizon_Months,Scenario_Description,Assumption_Source
SCENARIO-ASSUMPTION-0001,Baseline Plan,DEPARTMENT-001,HR,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0002,Baseline Plan,DEPARTMENT-002,Finance,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0003,Baseline Plan,DEPARTMENT-003,Sales,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0004,Baseline Plan,DEPARTMENT-004,Customer Support,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0005,Baseline Plan,DEPARTMENT-005,Engineering,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0006,Baseline Plan,DEPARTMENT-006,Operations,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0007,Baseline Plan,DEPARTMENT-007,IT,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0008,Baseline Plan,DEPARTMENT-008,Medical Care,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0009,Baseline Plan,DEPARTMENT-009,Training & Development,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0010,Baseline Plan,DEPARTMENT-010,Administration & Facilities,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0011,Baseline Plan,DEPARTMENT-011,Legal & Compliance,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0012,Baseline Plan,DEPARTMENT-012,Procurement & Supply Chain,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0013,Baseline Plan,DEPARTMENT-013,Logistics & Warehouse,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0014,Baseline Plan,DEPARTMENT-014,Production & Manufacturing,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0015,Baseline Plan,DEPARTMENT-015,Quality Assurance,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0016,Baseline Plan,DEPARTMENT-016,Research & Development,0.0,0.0,0.0,0.0,0,0,0,12,Approved operating plan,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0017,Growth Plan,DEPARTMENT-001,HR,8.0,-5.0,10.0,12.0,0,1,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0018,Growth Plan,DEPARTMENT-002,Finance,8.0,-5.0,10.0,12.0,2,3,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0019,Growth Plan,DEPARTMENT-003,Sales,8.0,-5.0,10.0,12.0,3,0,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0020,Growth Plan,DEPARTMENT-004,Customer Support,8.0,-5.0,10.0,12.0,2,3,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
