Historical_Employee_ID,Historical_Employee_Name,Department_ID,Department_Name,Last_Known_Job_Level,Historical_Status,Record_Effective_Date,Record_Purpose
HISTORICAL-EMPLOYEE-0001,Historical HR Employee 0001,DEPARTMENT-001,HR,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0002,Historical HR Employee 0002,DEPARTMENT-001,HR,Senior,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0003,Historical HR Employee 0003,DEPARTMENT-001,HR,Mid,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0004,Historical Finance Employee 0004,DEPARTMENT-002,Finance,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0005,Historical Sales Employee 0005,DEPARTMENT-003,Sales,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0006,Historical Sales Employee 0006,DEPARTMENT-003,Sales,Senior,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0007,Historical Sales Employee 0007,DEPARTMENT-003,Sales,Senior,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0008,Historical Customer Employee 0008,DEPARTMENT-004,Customer Support,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0009,Historical Customer Employee 0009,DEPARTMENT-004,Customer Support,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0010,Historical Customer Employee 0010,DEPARTMENT-004,Customer Support,Mid,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0011,Historical Engineering Employee 0011,DEPARTMENT-005,Engineering,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0012,Historical Engineering Employee 0012,DEPARTMENT-005,Engineering,Junior,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0013,Historical Engineering Employee 0013,DEPARTMENT-005,Engineering,Senior,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0014,Historical Operations Employee 0014,DEPARTMENT-006,Operations,Junior,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0015,Historical Operations Employee 0015,DEPARTMENT-006,Operations,Mid,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0016,Historical IT Employee 0016,DEPARTMENT-007,IT,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0017,Historical IT Employee 0017,DEPARTMENT-007,IT,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0018,Historical IT Employee 0018,DEPARTMENT-007,IT,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0019,Historical IT Employee 0019,DEPARTMENT-007,IT,Mid,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0020,Historical IT Employee 0020,DEPARTMENT-007,IT,Mid,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0021,Historical IT Employee 0021,DEPARTMENT-007,IT,Junior,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0022,Historical Medical Employee 0022,DEPARTMENT-008,Medical Care,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0023,Historical Medical Employee 0023,DEPARTMENT-008,Medical Care,Mid,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
