KPI_ID,KPI_Name,Applicable_Department,Skill_ID,Skill_Name,Development_Relevance_Weight,Relationship_Type,Mapping_Basis,Data_As_Of_Date
KPI-COM-ATT,Attendance and Punctuality,All,S052,Time Management,1.00,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-COM-RESP,Responsibility and Deadline Discipline,All,S052,Time Management,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-COM-RESP,Responsibility and Deadline Discipline,All,S050,Project Management,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-COM-TEAM,Teamwork and Professional Communication,All,S042,Communication,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-COM-TEAM,Teamwork and Professional Communication,All,S043,Teamwork,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-COM-LEARN,Learning and Adaptability,All,S048,Adaptability,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-COM-LEARN,Learning and Adaptability,All,S035,Learning & Development,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LEAD-MENTOR,Mentoring and Knowledge Transfer,All,S047,Coaching & Mentoring,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LEAD-MENTOR,Mentoring and Knowledge Transfer,All,S042,Communication,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LEAD-TEAM,Team Leadership and Development,All,S046,Leadership,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LEAD-TEAM,Team Leadership and Development,All,S047,Coaching & Mentoring,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-HR-001,HR Service and Recruitment Target Achievement,HR,S031,Recruitment & Selection,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-HR-001,HR Service and Recruitment Target Achievement,HR,S032,HRIS & Employee Data,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-HR-002,HR Data and Payroll Accuracy,HR,S036,Payroll Administration,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-HR-002,HR Data and Payroll Accuracy,HR,S032,HRIS & Employee Data,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-HR-003,Employee Case Resolution Time,HR,S034,Employee Relations,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-HR-003,Employee Case Resolution Time,HR,S044,Problem Solving,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-FIN-001,Reporting and Reconciliation Target Achievement,Finance,S026,Accounting & Reconciliation,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-FIN-001,Reporting and Reconciliation Target Achievement,Finance,S029,Advanced Excel,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-FIN-002,Financial Transaction and Reconciliation Accuracy,Finance,S026,Accounting & Reconciliation,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-FIN-002,Financial Transaction and Reconciliation Accuracy,Finance,S025,Financial Analysis,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-FIN-003,Financial Reporting Turnaround Time,Finance,S029,Advanced Excel,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-FIN-003,Financial Reporting Turnaround Time,Finance,S052,Time Management,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-SAL-001,Sales Target Achievement,Sales,S012,B2B Sales,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-SAL-001,Sales Target Achievement,Sales,S017,Pipeline Management,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-SAL-002,Collection Achievement,Sales,S016,Account Management,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-SAL-002,Collection Achievement,Sales,S014,Negotiation,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-SAL-003,Lead Conversion and Customer Retention Score,Sales,S013,Lead Generation,0.35,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-SAL-003,Lead Conversion and Customer Retention Score,Sales,S015,CRM Management,0.35,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-SAL-003,Lead Conversion and Customer Retention Score,Sales,S016,Account Management,0.30,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-CS-001,Ticket Resolution Target Achievement,Customer Support,S037,Customer Service,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-CS-001,Ticket Resolution Target Achievement,Customer Support,S038,Complaint Resolution,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-CS-002,First Contact Resolution and Case Quality,Customer Support,S038,Complaint Resolution,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-CS-002,First Contact Resolution and Case Quality,Customer Support,S044,Problem Solving,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-CS-003,Support SLA Compliance,Customer Support,S040,SLA Management,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-CS-003,Support SLA Compliance,Customer Support,S052,Time Management,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-ENG-001,Sprint Delivery Achievement,Engineering,S050,Project Management,0.50,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-ENG-001,Sprint Delivery Achievement,Engineering,S004,Software Testing,0.50,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-ENG-002,Escaped Defects per Release,Engineering,S004,Software Testing,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
