Course_ID,Course_Name,Skill_ID,Skill_Name,Skill_Category,Skill_Type,Course_Level,Recommended_From_Proficiency_Level,Target_Proficiency_Level,Estimated_Duration_Hours,Delivery_Mode,Provider_Type,Assessment_Method,Certificate_Available,Professional_Growth_Outcome,Active_Status,Catalog_Mode,Data_As_Of_Date
COURSE-S001-FND,Python Programming Fundamentals,S001,Python Programming,Technical,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Python Programming for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S001-PRC,Applied Python Programming,S001,Python Programming,Technical,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Python Programming for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S001-ADV,Advanced Python Programming and Decision Practice,S001,Python Programming,Technical,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Python Programming for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S002-FND,SQL & Databases Fundamentals,S002,SQL & Databases,Technical,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen SQL & Databases for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S002-PRC,Applied SQL & Databases,S002,SQL & Databases,Technical,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen SQL & Databases for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S002-ADV,Advanced SQL & Databases and Decision Practice,S002,SQL & Databases,Technical,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen SQL & Databases for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S003-FND,API Development Fundamentals,S003,API Development,Technical,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen API Development for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S003-PRC,Applied API Development,S003,API Development,Technical,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen API Development for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S003-ADV,Advanced API Development and Decision Practice,S003,API Development,Technical,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen API Development for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S004-FND,Software Testing Fundamentals,S004,Software Testing,Technical,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Software Testing for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S004-PRC,Applied Software Testing,S004,Software Testing,Technical,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Software Testing for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S004-ADV,Advanced Software Testing and Decision Practice,S004,Software Testing,Technical,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Software Testing for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S005-FND,System Design Fundamentals,S005,System Design,Technical,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen System Design for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S005-PRC,Applied System Design,S005,System Design,Technical,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen System Design for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S005-ADV,Advanced System Design and Decision Practice,S005,System Design,Technical,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen System Design for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S006-FND,DevOps & CI/CD Fundamentals,S006,DevOps & CI/CD,Technical,Digital,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen DevOps & CI/CD for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S006-PRC,Applied DevOps & CI/CD,S006,DevOps & CI/CD,Technical,Digital,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen DevOps & CI/CD for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S006-ADV,Advanced DevOps & CI/CD and Decision Practice,S006,DevOps & CI/CD,Technical,Digital,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen DevOps & CI/CD for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S007-FND,Cloud Platforms Fundamentals,S007,Cloud Platforms,Technical,Digital,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Cloud Platforms for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S007-PRC,Applied Cloud Platforms,S007,Cloud Platforms,Technical,Digital,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Cloud Platforms for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S007-ADV,Advanced Cloud Platforms and Decision Practice,S007,Cloud Platforms,Technical,Digital,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Cloud Platforms for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S008-FND,Cybersecurity Fundamentals,S008,Cybersecurity,Technical,Digital,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Cybersecurity for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S008-PRC,Applied Cybersecurity,S008,Cybersecurity,Technical,Digital,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Cybersecurity for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S008-ADV,Advanced Cybersecurity and Decision Practice,S008,Cybersecurity,Technical,Digital,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Cybersecurity for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S009-FND,Network Administration Fundamentals,S009,Network Administration,Technical,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Network Administration for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S009-PRC,Applied Network Administration,S009,Network Administration,Technical,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Network Administration for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S009-ADV,Advanced Network Administration and Decision Practice,S009,Network Administration,Technical,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Network Administration for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S010-FND,IT Service Management Fundamentals,S010,IT Service Management,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen IT Service Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S010-PRC,Applied IT Service Management,S010,IT Service Management,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen IT Service Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S010-ADV,Advanced IT Service Management and Decision Practice,S010,IT Service Management,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen IT Service Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S011-FND,Incident Management Fundamentals,S011,Incident Management,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Incident Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S011-PRC,Applied Incident Management,S011,Incident Management,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Incident Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S011-ADV,Advanced Incident Management and Decision Practice,S011,Incident Management,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Incident Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S012-FND,B2B Sales Fundamentals,S012,B2B Sales,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen B2B Sales for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S012-PRC,Applied B2B Sales,S012,B2B Sales,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen B2B Sales for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S012-ADV,Advanced B2B Sales and Decision Practice,S012,B2B Sales,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen B2B Sales for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S013-FND,Lead Generation Fundamentals,S013,Lead Generation,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Lead Generation for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S013-PRC,Applied Lead Generation,S013,Lead Generation,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Lead Generation for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S013-ADV,Advanced Lead Generation and Decision Practice,S013,Lead Generation,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Lead Generation for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
