Snapshot_Month,Organization_ID,Department_ID,Department_Name,Business_Unit,Approved_Position_Count,Budgeted_Position_Count,Actual_Employee_Count,Actual_Full_Time_Equivalent,Approved_Full_Time_Equivalent,Budgeted_Full_Time_Equivalent,Vacant_Approved_Position_Count,Funded_Vacant_Position_Count,Overstaffed_Employee_Count,Employees_Joining_During_Month,Employees_Leaving_During_Month,Employees_Transferred_In,Employees_Transferred_Out,Employees_Promoted,Monthly_Salary_Cost,Monthly_Benefits_Cost,Approved_Monthly_People_Budget,Budget_Variance_Amount,Budget_Utilization_Percentage,Vacancy_Rate_Percentage,Data_As_Of_Date
2024-09-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,43,41.5,42.9,41.9,1,0,0,2,2,0,0,0,6073511,1214702,7591888,303675,96.0,2.27,2024-09-28
2024-10-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,43,41.6,42.9,41.9,1,0,0,1,1,0,0,1,6073511,1214702,7591888,303675,96.0,2.27,2024-10-28
2024-11-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,42,40.8,42.9,41.9,2,1,0,0,2,1,0,3,5932266,1186453,7591888,473169,93.77,4.55,2024-11-28
2024-12-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,44,42.8,42.9,41.9,0,0,0,3,2,1,0,0,6214755,1242951,7591888,134182,98.23,0.0,2024-12-28
2025-01-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,44,42.9,42.9,41.9,0,0,0,0,1,1,0,3,6711936,1342387,8199240,144917,98.23,0.0,2025-01-28
2025-02-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,44,42.9,42.9,41.9,0,0,0,0,0,0,0,0,6711936,1342387,8199240,144917,98.23,0.0,2025-02-28
2025-03-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,43,41.9,42.9,41.9,1,0,0,1,2,0,0,0,6559392,1311878,8199240,327970,96.0,2.27,2025-03-28
2025-04-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,44,42.8,42.9,41.9,0,0,0,4,3,0,0,2,6711936,1342387,8199240,144917,98.23,0.0,2025-04-28
2025-05-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,43,41.7,42.9,41.9,1,0,0,1,2,1,1,2,6559392,1311878,8199240,327970,96.0,2.27,2025-05-28
2025-06-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,44,42.5,42.9,41.9,0,0,0,4,3,1,1,1,6711936,1342387,8199240,144917,98.23,0.0,2025-06-28
2025-07-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,45,43.3,42.9,41.9,0,0,1,2,3,2,0,3,6864480,1372896,8199240,-38136,100.47,0.0,2025-07-28
2025-08-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,44,42.2,42.9,41.9,0,0,0,1,0,0,2,1,6711936,1342387,8199240,144917,98.23,0.0,2025-08-28
2025-09-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,43,41.2,42.9,41.9,1,0,0,0,2,1,0,0,6559392,1311878,8199240,327970,96.0,2.27,2025-09-28
2025-10-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,44,42.1,42.9,41.9,0,0,0,1,0,0,0,2,6711936,1342387,8199240,144917,98.23,0.0,2025-10-28
2025-11-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,44,42.0,42.9,41.9,0,0,0,0,0,0,0,1,6711936,1342387,8199240,144917,98.23,0.0,2025-11-28
2025-12-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,43,44,42.0,42.9,41.9,0,0,0,2,2,1,1,3,6711936,1342387,8199240,144917,98.23,0.0,2025-12-28
2026-01-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,44,44,42.1,42.9,42.9,0,0,0,2,2,0,0,3,7209116,1441823,9011395,360456,96.0,0.0,2026-01-28
2026-02-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,44,44,42.2,42.9,42.9,0,0,0,1,1,0,0,2,7209116,1441823,9011395,360456,96.0,0.0,2026-02-28
2026-03-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,44,45,43.3,42.9,42.9,0,0,1,1,1,1,0,1,7372959,1474591,9011395,163845,98.18,0.0,2026-03-28
2026-04-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,44,46,44.4,42.9,42.9,0,0,2,3,1,0,1,2,7536803,1507360,9011395,-32768,100.36,0.0,2026-04-28
2026-05-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,44,46,44.6,42.9,42.9,0,0,2,0,1,2,1,3,7536803,1507360,9011395,-32768,100.36,0.0,2026-05-28
2026-06-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,44,45,43.7,42.9,42.9,0,0,1,2,3,0,0,3,7372959,1474591,9011395,163845,98.18,0.0,2026-06-28
2026-07-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,44,45,43.8,42.9,42.9,0,0,1,1,1,0,0,3,7372959,1474591,9011395,163845,98.18,0.0,2026-07-28
2026-08-01,ORGANIZATION-001,DEPARTMENT-001,HR,Corporate Services,44,44,45,43.9,42.9,42.9,0,0,1,1,2,1,0,3,7372959,1474591,9011395,163845,98.18,0.0,2026-08-01
2024-09-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,46,46,43,41.5,44.9,44.9,3,3,0,1,0,0,1,0,6957400,1391480,9303500,954620,89.74,6.52,2024-09-28
2024-10-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,46,46,41,39.7,44.9,44.9,5,5,0,0,2,0,0,3,6633800,1326760,9303500,1342940,85.57,10.87,2024-10-28
2024-11-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,46,46,42,40.8,44.9,44.9,4,4,0,5,2,0,2,3,6795600,1359120,9303500,1148780,87.65,8.7,2024-11-28
2024-12-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,46,46,42,40.9,44.9,44.9,4,4,0,4,3,0,1,1,6795600,1359120,9303500,1148780,87.65,8.7,2024-12-28
2025-01-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,47,46,43,41.9,45.8,44.9,4,3,0,4,2,0,1,1,7513992,1502798,10047780,1030990,89.74,8.51,2025-01-28
2025-02-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,47,46,43,41.9,45.8,44.9,4,3,0,2,2,0,0,3,7513992,1502798,10047780,1030990,89.74,8.51,2025-02-28
2025-03-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,47,46,43,41.9,45.8,44.9,4,3,0,2,3,1,0,1,7513992,1502798,10047780,1030990,89.74,8.51,2025-03-28
2025-04-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,47,46,43,41.8,45.8,44.9,4,3,0,4,3,0,1,1,7513992,1502798,10047780,1030990,89.74,8.51,2025-04-28
2025-05-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,47,46,43,41.7,45.8,44.9,4,3,0,4,3,0,1,2,7513992,1502798,10047780,1030990,89.74,8.51,2025-05-28
2025-06-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,47,46,44,42.5,45.8,44.9,3,2,0,4,3,1,1,0,7688736,1537747,10047780,821297,91.83,6.38,2025-06-28
2025-07-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,47,46,43,41.4,45.8,44.9,4,3,0,0,1,0,0,1,7513992,1502798,10047780,1030990,89.74,8.51,2025-07-28
2025-08-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,47,46,42,40.3,45.8,44.9,5,4,0,0,1,0,0,2,7339248,1467849,10047780,1240683,87.65,10.64,2025-08-28
2025-09-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,47,46,44,42.1,45.8,44.9,3,2,0,5,3,0,0,0,7688736,1537747,10047780,821297,91.83,6.38,2025-09-28
2025-10-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,47,46,44,42.1,45.8,44.9,3,2,0,1,3,2,0,1,7688736,1537747,10047780,821297,91.83,6.38,2025-10-28
2025-11-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,47,46,44,42.0,45.8,44.9,3,2,0,0,0,0,0,2,7688736,1537747,10047780,821297,91.83,6.38,2025-11-28
2025-12-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,47,46,45,43.0,45.8,44.9,2,1,0,1,1,2,1,1,7863480,1572696,10047780,611604,93.91,4.26,2025-12-28
2026-01-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,48,47,45,43.1,46.8,45.8,3,2,0,0,1,1,0,2,8445960,1689192,11026670,891518,91.91,6.25,2026-01-28
2026-02-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,48,47,44,42.2,46.8,45.8,4,3,0,0,2,1,0,3,8258271,1651654,11026670,1116745,89.87,8.33,2026-02-28
2026-03-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,48,47,45,43.3,46.8,45.8,3,2,0,3,2,0,0,1,8445960,1689192,11026670,891518,91.91,6.25,2026-03-28
2026-04-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,48,47,45,43.4,46.8,45.8,3,2,0,1,1,0,0,0,8445960,1689192,11026670,891518,91.91,6.25,2026-04-28
2026-05-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,48,47,45,43.6,46.8,45.8,3,2,0,3,3,0,0,1,8445960,1689192,11026670,891518,91.91,6.25,2026-05-28
2026-06-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,48,47,45,43.7,46.8,45.8,3,2,0,1,1,0,0,1,8445960,1689192,11026670,891518,91.91,6.25,2026-06-28
2026-07-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,48,47,46,44.8,46.8,45.8,2,1,0,4,2,0,1,2,8633648,1726729,11026670,666293,93.96,4.17,2026-07-28
2026-08-01,ORGANIZATION-001,DEPARTMENT-002,Finance,Corporate Services,48,47,45,43.9,46.8,45.8,3,2,0,3,3,0,1,0,8445960,1689192,11026670,891518,91.91,6.25,2026-08-01
2024-09-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,50,49,39,37.6,48.8,47.8,11,10,0,3,2,0,1,0,4853333,970666,7622222,1798223,76.41,22.0,2024-09-28
2024-10-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,50,49,40,38.7,48.8,47.8,10,9,0,0,1,2,0,0,4977777,995555,7622222,1648890,78.37,20.0,2024-10-28
2024-11-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,50,49,42,40.8,48.8,47.8,8,7,0,3,0,0,1,1,5226666,1045333,7622222,1350223,82.29,16.0,2024-11-28
2024-12-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,50,49,43,41.9,48.8,47.8,7,6,0,2,0,1,2,2,5351111,1070222,7622222,1200889,84.24,14.0,2024-12-28
2025-01-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,51,49,40,39.0,49.7,47.8,11,9,0,0,5,2,0,1,5376000,1075200,8232000,1780800,78.37,21.57,2025-01-28
2025-02-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,51,49,40,39.0,49.7,47.8,11,9,0,2,2,0,0,2,5376000,1075200,8232000,1780800,78.37,21.57,2025-02-28
2025-03-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,51,49,40,39.0,49.7,47.8,11,9,0,0,1,2,1,1,5376000,1075200,8232000,1780800,78.37,21.57,2025-03-28
2025-04-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,51,49,41,39.9,49.7,47.8,10,8,0,1,0,0,0,0,5510400,1102080,8232000,1619520,80.33,19.61,2025-04-28
2025-05-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,51,49,42,40.7,49.7,47.8,9,7,0,3,2,0,0,2,5644800,1128960,8232000,1458240,82.29,17.65,2025-05-28
2025-06-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,51,49,42,40.6,49.7,47.8,9,7,0,0,1,2,1,1,5644800,1128960,8232000,1458240,82.29,17.65,2025-06-28
2025-07-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,51,49,42,40.4,49.7,47.8,9,7,0,3,3,0,0,3,5644800,1128960,8232000,1458240,82.29,17.65,2025-07-28
2025-08-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,51,49,42,40.3,49.7,47.8,9,7,0,4,3,0,1,0,5644800,1128960,8232000,1458240,82.29,17.65,2025-08-28
2025-09-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,51,49,42,40.2,49.7,47.8,9,7,0,0,1,1,0,3,5644800,1128960,8232000,1458240,82.29,17.65,2025-09-28
2025-10-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,51,49,43,41.1,49.7,47.8,8,6,0,2,1,0,0,3,5779200,1155840,8232000,1296960,84.24,15.69,2025-10-28
2025-11-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,51,49,44,42.0,49.7,47.8,7,5,0,3,2,1,1,1,5913600,1182720,8232000,1135680,86.2,13.73,2025-11-28
2025-12-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,51,49,45,43.0,49.7,47.8,6,4,0,2,1,0,0,2,6048000,1209600,8232000,974400,88.16,11.76,2025-12-28
2026-01-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,52,50,42,40.2,50.7,48.8,10,8,0,0,2,0,1,3,6062933,1212586,9022222,1746703,80.64,19.23,2026-01-28
2026-02-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,52,50,42,40.3,50.7,48.8,10,8,0,0,1,2,1,1,6062933,1212586,9022222,1746703,80.64,19.23,2026-02-28
2026-03-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,52,50,43,41.4,50.7,48.8,9,7,0,0,0,1,0,0,6207288,1241457,9022222,1573477,82.56,17.31,2026-03-28
2026-04-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,52,50,45,43.4,50.7,48.8,7,5,0,2,0,0,0,2,6496000,1299200,9022222,1227022,86.4,13.46,2026-04-28
2026-05-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,52,50,44,42.6,50.7,48.8,8,6,0,0,1,0,0,2,6351644,1270328,9022222,1400250,84.48,15.38,2026-05-28
2026-06-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,52,50,45,43.7,50.7,48.8,7,5,0,1,0,0,0,3,6496000,1299200,9022222,1227022,86.4,13.46,2026-06-28
2026-07-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,52,50,44,42.8,50.7,48.8,8,6,0,0,1,0,0,3,6351644,1270328,9022222,1400250,84.48,15.38,2026-07-28
