Organizational_Unit_ID,Organizational_Unit_Name,Organizational_Unit_Type,Parent_Organizational_Unit_ID,Department_ID,Business_Unit_ID,Work_Location_ID,Active_Status
ORGANIZATIONAL-UNIT-ROOT,PeopleLens Demonstration Organization,Organization,,,,LOC-HQ,Active
ORGANIZATIONAL-UNIT-BUSINESS-UNIT-001,Commercial Services,Business Unit,ORGANIZATIONAL-UNIT-ROOT,,BUSINESS-UNIT-001,LOC-HQ,Active
ORGANIZATIONAL-UNIT-BUSINESS-UNIT-002,Corporate Services,Business Unit,ORGANIZATIONAL-UNIT-ROOT,,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-BUSINESS-UNIT-003,Enterprise Operations,Business Unit,ORGANIZATIONAL-UNIT-ROOT,,BUSINESS-UNIT-003,LOC-HQ,Active
ORGANIZATIONAL-UNIT-BUSINESS-UNIT-004,Healthcare Services,Business Unit,ORGANIZATIONAL-UNIT-ROOT,,BUSINESS-UNIT-004,LOC-HQ,Active
ORGANIZATIONAL-UNIT-BUSINESS-UNIT-005,Industrial Operations,Business Unit,ORGANIZATIONAL-UNIT-ROOT,,BUSINESS-UNIT-005,LOC-HQ,Active
ORGANIZATIONAL-UNIT-BUSINESS-UNIT-006,Learning Services,Business Unit,ORGANIZATIONAL-UNIT-ROOT,,BUSINESS-UNIT-006,LOC-HQ,Active
ORGANIZATIONAL-UNIT-BUSINESS-UNIT-007,Technology and Innovation,Business Unit,ORGANIZATIONAL-UNIT-ROOT,,BUSINESS-UNIT-007,LOC-HQ,Active
ORGANIZATIONAL-UNIT-HR,HR,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-002,DEPARTMENT-001,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-HR-TEAM-01,HR Team 1,Team,ORGANIZATIONAL-UNIT-HR,DEPARTMENT-001,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-HR-TEAM-02,HR Team 2,Team,ORGANIZATIONAL-UNIT-HR,DEPARTMENT-001,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-HR-TEAM-03,HR Team 3,Team,ORGANIZATIONAL-UNIT-HR,DEPARTMENT-001,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-FIN,Finance,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-002,DEPARTMENT-002,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-FIN-TEAM-01,Finance Team 1,Team,ORGANIZATIONAL-UNIT-FIN,DEPARTMENT-002,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-FIN-TEAM-02,Finance Team 2,Team,ORGANIZATIONAL-UNIT-FIN,DEPARTMENT-002,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-FIN-TEAM-03,Finance Team 3,Team,ORGANIZATIONAL-UNIT-FIN,DEPARTMENT-002,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-SAL,Sales,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-001,DEPARTMENT-003,BUSINESS-UNIT-001,LOC-NORTH,Active
ORGANIZATIONAL-UNIT-SAL-TEAM-01,Sales Team 1,Team,ORGANIZATIONAL-UNIT-SAL,DEPARTMENT-003,BUSINESS-UNIT-001,LOC-NORTH,Active
ORGANIZATIONAL-UNIT-SAL-TEAM-02,Sales Team 2,Team,ORGANIZATIONAL-UNIT-SAL,DEPARTMENT-003,BUSINESS-UNIT-001,LOC-NORTH,Active
ORGANIZATIONAL-UNIT-SAL-TEAM-03,Sales Team 3,Team,ORGANIZATIONAL-UNIT-SAL,DEPARTMENT-003,BUSINESS-UNIT-001,LOC-NORTH,Active
ORGANIZATIONAL-UNIT-CS,Customer Support,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-001,DEPARTMENT-004,BUSINESS-UNIT-001,LOC-CENTRAL,Active
ORGANIZATIONAL-UNIT-CS-TEAM-01,Customer Support Team 1,Team,ORGANIZATIONAL-UNIT-CS,DEPARTMENT-004,BUSINESS-UNIT-001,LOC-CENTRAL,Active
ORGANIZATIONAL-UNIT-CS-TEAM-02,Customer Support Team 2,Team,ORGANIZATIONAL-UNIT-CS,DEPARTMENT-004,BUSINESS-UNIT-001,LOC-CENTRAL,Active
ORGANIZATIONAL-UNIT-CS-TEAM-03,Customer Support Team 3,Team,ORGANIZATIONAL-UNIT-CS,DEPARTMENT-004,BUSINESS-UNIT-001,LOC-CENTRAL,Active
ORGANIZATIONAL-UNIT-ENG,Engineering,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-007,DEPARTMENT-005,BUSINESS-UNIT-007,LOC-HQ,Active
ORGANIZATIONAL-UNIT-ENG-TEAM-01,Engineering Team 1,Team,ORGANIZATIONAL-UNIT-ENG,DEPARTMENT-005,BUSINESS-UNIT-007,LOC-HQ,Active
ORGANIZATIONAL-UNIT-ENG-TEAM-02,Engineering Team 2,Team,ORGANIZATIONAL-UNIT-ENG,DEPARTMENT-005,BUSINESS-UNIT-007,LOC-HQ,Active
ORGANIZATIONAL-UNIT-ENG-TEAM-03,Engineering Team 3,Team,ORGANIZATIONAL-UNIT-ENG,DEPARTMENT-005,BUSINESS-UNIT-007,LOC-HQ,Active
ORGANIZATIONAL-UNIT-OPS,Operations,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-003,DEPARTMENT-006,BUSINESS-UNIT-003,LOC-CENTRAL,Active
ORGANIZATIONAL-UNIT-OPS-TEAM-01,Operations Team 1,Team,ORGANIZATIONAL-UNIT-OPS,DEPARTMENT-006,BUSINESS-UNIT-003,LOC-CENTRAL,Active
ORGANIZATIONAL-UNIT-OPS-TEAM-02,Operations Team 2,Team,ORGANIZATIONAL-UNIT-OPS,DEPARTMENT-006,BUSINESS-UNIT-003,LOC-CENTRAL,Active
ORGANIZATIONAL-UNIT-OPS-TEAM-03,Operations Team 3,Team,ORGANIZATIONAL-UNIT-OPS,DEPARTMENT-006,BUSINESS-UNIT-003,LOC-CENTRAL,Active
ORGANIZATIONAL-UNIT-IT,IT,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-007,DEPARTMENT-007,BUSINESS-UNIT-007,LOC-HQ,Active
ORGANIZATIONAL-UNIT-IT-TEAM-01,IT Team 1,Team,ORGANIZATIONAL-UNIT-IT,DEPARTMENT-007,BUSINESS-UNIT-007,LOC-HQ,Active
ORGANIZATIONAL-UNIT-IT-TEAM-02,IT Team 2,Team,ORGANIZATIONAL-UNIT-IT,DEPARTMENT-007,BUSINESS-UNIT-007,LOC-HQ,Active
ORGANIZATIONAL-UNIT-IT-TEAM-03,IT Team 3,Team,ORGANIZATIONAL-UNIT-IT,DEPARTMENT-007,BUSINESS-UNIT-007,LOC-HQ,Active
ORGANIZATIONAL-UNIT-MED,Medical Care,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-004,DEPARTMENT-008,BUSINESS-UNIT-004,LOC-MEDICAL,Active
ORGANIZATIONAL-UNIT-MED-TEAM-01,Medical Care Team 1,Team,ORGANIZATIONAL-UNIT-MED,DEPARTMENT-008,BUSINESS-UNIT-004,LOC-MEDICAL,Active
ORGANIZATIONAL-UNIT-MED-TEAM-02,Medical Care Team 2,Team,ORGANIZATIONAL-UNIT-MED,DEPARTMENT-008,BUSINESS-UNIT-004,LOC-MEDICAL,Active
ORGANIZATIONAL-UNIT-MED-TEAM-03,Medical Care Team 3,Team,ORGANIZATIONAL-UNIT-MED,DEPARTMENT-008,BUSINESS-UNIT-004,LOC-MEDICAL,Active
ORGANIZATIONAL-UNIT-TRN,Training & Development,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-006,DEPARTMENT-009,BUSINESS-UNIT-006,LOC-CAMPUS,Active
ORGANIZATIONAL-UNIT-TRN-TEAM-01,Training & Development Team 1,Team,ORGANIZATIONAL-UNIT-TRN,DEPARTMENT-009,BUSINESS-UNIT-006,LOC-CAMPUS,Active
ORGANIZATIONAL-UNIT-TRN-TEAM-02,Training & Development Team 2,Team,ORGANIZATIONAL-UNIT-TRN,DEPARTMENT-009,BUSINESS-UNIT-006,LOC-CAMPUS,Active
ORGANIZATIONAL-UNIT-TRN-TEAM-03,Training & Development Team 3,Team,ORGANIZATIONAL-UNIT-TRN,DEPARTMENT-009,BUSINESS-UNIT-006,LOC-CAMPUS,Active
ORGANIZATIONAL-UNIT-ADM,Administration & Facilities,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-002,DEPARTMENT-010,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-ADM-TEAM-01,Administration & Facilities Team 1,Team,ORGANIZATIONAL-UNIT-ADM,DEPARTMENT-010,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-ADM-TEAM-02,Administration & Facilities Team 2,Team,ORGANIZATIONAL-UNIT-ADM,DEPARTMENT-010,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-ADM-TEAM-03,Administration & Facilities Team 3,Team,ORGANIZATIONAL-UNIT-ADM,DEPARTMENT-010,BUSINESS-UNIT-002,LOC-HQ,Active
