Position_Budget_ID,Fiscal_Year,Position_ID,Position_Title,Department_ID,Department_Name,Cost_Center_ID,Approved_Position,Budgeted_Position,Position_Status,Full_Time_Equivalent_Capacity,Annual_Salary_Budget,Annual_Benefits_Budget,Annual_Employer_Tax_and_Contribution_Budget,Annual_Recruitment_Budget,Annual_Training_Budget,Total_Annual_Position_Cost_Budget,Budget_Start_Date,Budget_End_Date,Budget_Status,Budget_Currency,Data_As_Of_Date
POSITION-BUDGET-0001,2026,POS-001,HR Manager,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,4536000,907200,362880,0,81648,5887728,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0002,2026,POS-002,Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1837000,367400,146960,0,33066,2384426,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0003,2026,POS-003,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0004,2026,POS-004,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0005,2026,POS-005,Software Engineer I,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,1215000,243000,97200,0,21870,1577070,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0006,2026,POS-006,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0007,2026,POS-007,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0008,2026,POS-008,Finance Manager,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,4990000,998000,399200,0,89820,6477020,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0009,2026,POS-009,Customer Support Manager,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,3856000,771200,308480,0,69408,5005088,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0010,2026,POS-010,Senior Software Engineer,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,3564000,712800,285120,0,64151,4626071,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0011,2026,POS-011,Sales Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,4763000,952600,381040,0,85734,6182374,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0012,2026,POS-012,HR Manager,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,4536000,907200,362880,0,81648,5887728,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0013,2026,POS-013,HR Generalist,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0014,2026,POS-014,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0015,2026,POS-015,Engineering Lead,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,5670000,1134000,453600,0,102059,7359659,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0016,2026,POS-016,Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1837000,367400,146960,0,33066,2384426,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0017,2026,POS-017,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0018,2026,POS-018,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0019,2026,POS-019,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0020,2026,POS-020,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0021,2026,POS-021,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0022,2026,POS-022,Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1837000,367400,146960,0,33066,2384426,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0023,2026,POS-023,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0024,2026,POS-024,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0025,2026,POS-025,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0026,2026,POS-026,Operations Manager,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,4082000,816400,326560,0,73476,5298436,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0027,2026,POS-027,Senior Support Executive,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,1487000,297400,118960,0,26765,1930125,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0028,2026,POS-028,Senior Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,2994000,598800,239520,0,53891,3886211,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0029,2026,POS-029,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0030,2026,POS-030,Senior Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,3136000,627200,250880,0,56447,4070527,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0031,2026,POS-031,Senior Software Engineer,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,3564000,712800,285120,0,64151,4626071,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0032,2026,POS-032,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0033,2026,POS-033,IT Support Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0034,2026,POS-034,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0035,2026,POS-035,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0036,2026,POS-036,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0037,2026,POS-037,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0038,2026,POS-038,Senior Support Executive,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,1487000,297400,118960,0,26765,1930125,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0039,2026,POS-039,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0040,2026,POS-040,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0041,2026,POS-041,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0042,2026,POS-042,Senior Support Executive,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,1487000,297400,118960,0,26765,1930125,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0043,2026,POS-043,Operations Analyst,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,1575000,315000,126000,0,28349,2044349,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0044,2026,POS-044,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0045,2026,POS-045,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0046,2026,POS-046,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0047,2026,POS-047,Senior Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,3136000,627200,250880,0,56447,4070527,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0048,2026,POS-048,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0049,2026,POS-049,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0050,2026,POS-050,Finance Officer,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1069000,213800,85520,0,19242,1387562,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0051,2026,POS-051,Senior Systems Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0052,2026,POS-052,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0053,2026,POS-053,HR Officer,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,972000,194400,77760,0,17496,1261656,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
