Position_ID,Department,Position_Title,Designation,Skill_ID,Skill_Name,Skill_Category,Requirement_Type,Mandatory_Flag,Minimum_Proficiency_Level,Minimum_Skill_Score,Skill_Weight_pct,Department_ID,Business_Unit,Organizational_Unit_ID,Data_As_Of_Date
POS-001,HR,HR Manager,HR Manager,S046,Leadership,Leadership,Required,Yes,4,75,25,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR,2026-08-01
POS-001,HR,HR Manager,HR Manager,S033,Performance Management,Functional,Required,Yes,4,75,25,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR,2026-08-01
POS-001,HR,HR Manager,HR Manager,S034,Employee Relations,Behavioral,Required,Yes,4,75,20,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR,2026-08-01
POS-001,HR,HR Manager,HR Manager,S035,Learning & Development,Functional,Required,No,4,75,20,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR,2026-08-01
POS-001,HR,HR Manager,HR Manager,S045,Stakeholder Management,Behavioral,Preferred,No,3,65,10,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR,2026-08-01
POS-002,Sales,Account Manager,Senior Sales Executive,S016,Account Management,Functional,Required,Yes,3,65,25,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,2026-08-01
POS-002,Sales,Account Manager,Senior Sales Executive,S014,Negotiation,Behavioral,Required,Yes,3,65,25,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,2026-08-01
POS-002,Sales,Account Manager,Senior Sales Executive,S015,CRM Management,Digital,Required,Yes,3,65,20,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,2026-08-01
POS-002,Sales,Account Manager,Senior Sales Executive,S017,Pipeline Management,Functional,Required,No,3,65,20,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,2026-08-01
POS-002,Sales,Account Manager,Senior Sales Executive,S018,Product Knowledge,Functional,Preferred,No,2,55,10,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,2026-08-01
POS-003,Finance,Financial Analyst,Financial Analyst,S025,Financial Analysis,Functional,Required,Yes,3,65,25,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,2026-08-01
POS-003,Finance,Financial Analyst,Financial Analyst,S026,Accounting & Reconciliation,Functional,Required,Yes,3,65,25,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,2026-08-01
POS-003,Finance,Financial Analyst,Financial Analyst,S027,Budgeting & Forecasting,Functional,Required,Yes,3,65,20,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,2026-08-01
POS-003,Finance,Financial Analyst,Financial Analyst,S029,Advanced Excel,Digital,Required,No,3,65,20,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,2026-08-01
POS-003,Finance,Financial Analyst,Financial Analyst,S030,Risk Analysis,Functional,Preferred,No,2,55,10,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,2026-08-01
POS-004,Finance,Financial Analyst,Financial Analyst,S025,Financial Analysis,Functional,Required,Yes,3,65,25,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,2026-08-01
POS-004,Finance,Financial Analyst,Financial Analyst,S026,Accounting & Reconciliation,Functional,Required,Yes,3,65,25,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,2026-08-01
POS-004,Finance,Financial Analyst,Financial Analyst,S027,Budgeting & Forecasting,Functional,Required,Yes,3,65,20,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,2026-08-01
POS-004,Finance,Financial Analyst,Financial Analyst,S029,Advanced Excel,Digital,Required,No,3,65,20,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,2026-08-01
POS-004,Finance,Financial Analyst,Financial Analyst,S030,Risk Analysis,Functional,Preferred,No,2,55,10,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,2026-08-01
POS-005,Engineering,Software Engineer I,Junior Software Engineer,S001,Python Programming,Technical,Required,Yes,2,55,25,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,2026-08-01
POS-005,Engineering,Software Engineer I,Junior Software Engineer,S002,SQL & Databases,Technical,Required,Yes,2,55,25,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,2026-08-01
POS-005,Engineering,Software Engineer I,Junior Software Engineer,S004,Software Testing,Technical,Required,Yes,2,55,20,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,2026-08-01
POS-005,Engineering,Software Engineer I,Junior Software Engineer,S044,Problem Solving,Behavioral,Required,No,2,55,20,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,2026-08-01
POS-005,Engineering,Software Engineer I,Junior Software Engineer,S043,Teamwork,Behavioral,Preferred,No,1,45,10,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,2026-08-01
POS-006,Engineering,Software Engineer II,Software Engineer,S001,Python Programming,Technical,Required,Yes,3,65,25,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,2026-08-01
POS-006,Engineering,Software Engineer II,Software Engineer,S002,SQL & Databases,Technical,Required,Yes,3,65,25,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,2026-08-01
POS-006,Engineering,Software Engineer II,Software Engineer,S003,API Development,Technical,Required,Yes,3,65,20,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,2026-08-01
POS-006,Engineering,Software Engineer II,Software Engineer,S004,Software Testing,Technical,Required,No,3,65,20,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,2026-08-01
POS-006,Engineering,Software Engineer II,Software Engineer,S044,Problem Solving,Behavioral,Preferred,No,2,55,10,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,2026-08-01
POS-007,Customer Support,Customer Support Representative,Support Executive,S037,Customer Service,Functional,Required,Yes,2,55,25,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,2026-08-01
POS-007,Customer Support,Customer Support Representative,Support Executive,S038,Complaint Resolution,Behavioral,Required,Yes,2,55,25,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,2026-08-01
POS-007,Customer Support,Customer Support Representative,Support Executive,S039,Call Handling,Functional,Required,Yes,2,55,20,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,2026-08-01
