Department_ID,Department_Name,Minimum_Operational_Headcount_pct,Minimum_Operational_Headcount,Target_Capacity_Utilization_pct,Maximum_Sustainable_Utilization_pct,Max_Overtime_Capacity_pct,Average_New_Hire_Ramp_Up_Days,Average_Transfer_Ramp_Up_Days,Average_Promotion_Ramp_Up_Days,Average_Onboarding_Cost_PKR,Transfer_Admin_Cost_PKR,Promotion_Admin_Cost_PKR,Training_Cost_per_Hour_PKR,Demand_Service_Level_Target_pct,Workload_Risk_Threshold_pct,Budget_Warning_Threshold_pct,Budget_Critical_Threshold_pct,Assumption_Status,Assumption_Effective_Date
DEPARTMENT-001,HR,80.0,36,85,93,10,45,30,35,65000,15000,12000,2500,95,90,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-002,Finance,85.0,39,82,92,8,50,35,45,75000,18000,15000,3000,98,88,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-003,Sales,75.0,34,88,98,15,35,25,30,70000,12000,10000,2200,95,95,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-004,Customer Support,85.0,39,88,97,15,30,20,25,55000,10000,8000,1800,95,95,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-005,Engineering,85.0,39,82,92,10,75,55,60,120000,25000,20000,4500,97,90,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-006,Operations,90.0,41,85,95,12,45,30,40,80000,15000,12000,2500,97,92,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-007,IT,90.0,41,82,92,10,60,45,55,100000,22000,18000,4000,99,88,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-008,Medical Care,95.0,43,80,90,8,75,60,60,140000,30000,25000,5000,99,85,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-009,Training & Development,75.0,34,80,90,8,40,30,35,60000,12000,10000,3500,95,85,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-010,Administration & Facilities,85.0,39,85,95,12,30,20,30,50000,10000,8000,1800,95,92,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-011,Legal & Compliance,90.0,41,80,90,5,70,50,60,110000,25000,20000,4500,99,82,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-012,Procurement & Supply Chain,85.0,39,85,95,12,45,30,40,80000,15000,12000,2500,97,92,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-013,Logistics & Warehouse,90.0,41,88,98,15,30,20,30,55000,10000,8000,1800,96,95,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-014,Production & Manufacturing,95.0,43,88,97,12,45,30,40,70000,12000,10000,2200,98,94,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-015,Quality Assurance,90.0,41,82,92,8,55,40,50,90000,18000,15000,3200,99,88,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
DEPARTMENT-016,Research & Development,80.0,36,80,90,8,90,65,70,130000,28000,22000,5000,95,85,90,100,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
