Employee_ID,Promotion_Base_Readiness_Score_pct,Transfer_Base_Readiness_Score_pct,Reskilling_Base_Readiness_Score_pct,Reskilling_Need_Score_pct,Current_Role_Skill_Coverage_pct,Current_Role_Mandatory_Skill_Coverage_pct,Current_Role_Skill_Gap_Count,Current_Role_Mandatory_Gap_Count,Cross_Functional_Exposure_Score_pct,Overtime_Load_pct,Attendance_Availability_pct,Simulation_Feature_Version,Source_Data_As_Of_Date,Feature_Source
EMP001,92.15,90.87,89.21,8.0,80.0,100.0,1,0,81.25,2.31,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP002,94.89,81.37,88.79,0.0,100.0,100.0,0,0,25.0,4.62,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP003,95.65,81.0,66.82,36.0,60.0,66.67,2,1,18.75,0.0,96.9,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP004,95.91,80.72,80.78,0.0,100.0,100.0,0,0,18.75,18.48,96.9,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP005,66.93,45.22,41.22,72.0,25.0,33.33,4,2,0.0,8.08,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP006,90.4,77.14,72.41,0.0,100.0,100.0,0,0,37.5,19.05,96.9,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP007,89.36,71.74,61.9,36.0,55.0,66.67,2,1,12.5,12.7,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP008,87.78,74.34,86.48,36.0,55.0,66.67,2,1,31.25,7.51,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP009,93.14,86.64,86.32,0.0,100.0,100.0,0,0,56.25,14.43,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP010,94.12,82.03,82.32,56.0,55.0,33.33,2,2,31.25,12.7,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP011,92.02,94.64,93.72,28.0,75.0,66.67,1,1,100.0,4.04,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP012,91.62,90.36,84.82,0.0,100.0,100.0,0,0,81.25,16.17,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP013,96.59,84.94,84.65,0.0,100.0,100.0,0,0,37.5,8.08,98.5,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP014,93.56,81.58,86.93,36.0,60.0,66.67,2,1,25.0,6.35,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP015,92.14,84.72,90.79,28.0,75.0,66.67,1,1,50.0,8.08,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP016,69.59,49.08,40.32,72.0,25.0,33.33,4,2,25.0,17.32,96.9,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP017,95.42,80.28,62.78,8.0,80.0,100.0,1,0,18.75,23.09,96.9,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP018,88.1,75.36,50.36,100.0,0.0,0.0,5,3,37.5,16.74,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP019,95.76,81.81,82.17,28.0,80.0,66.67,1,1,25.0,10.39,95.1,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP020,90.16,70.96,58.28,64.0,35.0,33.33,3,2,6.25,11.55,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP021,85.03,68.93,57.65,72.0,25.0,33.33,4,2,6.25,12.12,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP022,93.01,81.35,68.11,56.0,55.0,33.33,2,2,31.25,8.66,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP023,83.78,68.57,53.39,72.0,25.0,33.33,4,2,6.25,20.79,96.7,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP024,90.06,73.31,60.68,64.0,35.0,33.33,3,2,18.75,11.55,96.9,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP025,92.68,80.34,64.29,36.0,60.0,66.67,2,1,18.75,17.32,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP026,68.48,51.6,32.37,100.0,0.0,0.0,5,3,43.75,15.59,96.9,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP027,85.99,73.58,51.46,36.0,60.0,66.67,2,1,37.5,26.56,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP028,93.69,82.49,78.73,0.0,100.0,100.0,0,0,37.5,20.79,95.2,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP029,92.24,79.39,65.55,64.0,35.0,33.33,3,2,18.75,21.94,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP030,95.48,91.74,87.09,0.0,100.0,100.0,0,0,75.0,4.62,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP031,92.71,85.58,87.66,0.0,100.0,100.0,0,0,43.75,4.62,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP032,87.01,70.04,57.04,64.0,30.0,33.33,3,2,12.5,10.97,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP033,95.51,79.46,65.59,28.0,75.0,66.67,1,1,12.5,16.17,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP034,87.04,70.01,54.03,72.0,25.0,33.33,4,2,12.5,12.7,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP035,88.97,73.63,58.43,44.0,50.0,66.67,3,1,25.0,15.01,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP036,69.54,47.24,52.52,36.0,60.0,66.67,2,1,6.25,8.08,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP037,87.78,73.14,55.02,64.0,35.0,33.33,3,2,25.0,10.97,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP038,94.38,83.66,77.11,8.0,80.0,100.0,1,0,37.5,27.14,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP039,86.99,71.33,56.57,56.0,55.0,33.33,2,2,12.5,12.7,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP040,88.15,72.04,55.66,64.0,35.0,33.33,3,2,18.75,16.74,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP041,85.1,69.56,54.17,100.0,0.0,0.0,5,3,12.5,17.32,98.5,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP042,88.51,77.18,73.46,36.0,60.0,66.67,2,1,43.75,16.74,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP043,88.27,73.04,56.97,36.0,55.0,66.67,2,1,25.0,26.56,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
