Course_ID,Course_Name,Skill_ID,Skill_Name,Course_Level,Estimated_Training_Cost_PKR,Expected_Productivity_Lift_pct,Expected_Time_to_Competency_Days,Target_Application_Adoption_pct,ROI_Evaluation_Window_Days,Assumption_Status,Assumption_Effective_Date
COURSE-S001-FND,Python Programming Fundamentals,S001,Python Programming,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S001-PRC,Applied Python Programming,S001,Python Programming,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S001-ADV,Advanced Python Programming and Decision Practice,S001,Python Programming,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S002-FND,SQL & Databases Fundamentals,S002,SQL & Databases,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S002-PRC,Applied SQL & Databases,S002,SQL & Databases,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S002-ADV,Advanced SQL & Databases and Decision Practice,S002,SQL & Databases,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S003-FND,API Development Fundamentals,S003,API Development,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S003-PRC,Applied API Development,S003,API Development,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S003-ADV,Advanced API Development and Decision Practice,S003,API Development,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S004-FND,Software Testing Fundamentals,S004,Software Testing,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S004-PRC,Applied Software Testing,S004,Software Testing,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S004-ADV,Advanced Software Testing and Decision Practice,S004,Software Testing,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S005-FND,System Design Fundamentals,S005,System Design,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S005-PRC,Applied System Design,S005,System Design,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S005-ADV,Advanced System Design and Decision Practice,S005,System Design,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S006-FND,DevOps & CI/CD Fundamentals,S006,DevOps & CI/CD,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S006-PRC,Applied DevOps & CI/CD,S006,DevOps & CI/CD,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S006-ADV,Advanced DevOps & CI/CD and Decision Practice,S006,DevOps & CI/CD,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S007-FND,Cloud Platforms Fundamentals,S007,Cloud Platforms,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S007-PRC,Applied Cloud Platforms,S007,Cloud Platforms,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S007-ADV,Advanced Cloud Platforms and Decision Practice,S007,Cloud Platforms,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S008-FND,Cybersecurity Fundamentals,S008,Cybersecurity,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S008-PRC,Applied Cybersecurity,S008,Cybersecurity,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S008-ADV,Advanced Cybersecurity and Decision Practice,S008,Cybersecurity,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S009-FND,Network Administration Fundamentals,S009,Network Administration,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S009-PRC,Applied Network Administration,S009,Network Administration,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S009-ADV,Advanced Network Administration and Decision Practice,S009,Network Administration,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S010-FND,IT Service Management Fundamentals,S010,IT Service Management,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S010-PRC,Applied IT Service Management,S010,IT Service Management,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S010-ADV,Advanced IT Service Management and Decision Practice,S010,IT Service Management,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S011-FND,Incident Management Fundamentals,S011,Incident Management,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S011-PRC,Applied Incident Management,S011,Incident Management,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S011-ADV,Advanced Incident Management and Decision Practice,S011,Incident Management,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S012-FND,B2B Sales Fundamentals,S012,B2B Sales,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S012-PRC,Applied B2B Sales,S012,B2B Sales,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S012-ADV,Advanced B2B Sales and Decision Practice,S012,B2B Sales,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S013-FND,Lead Generation Fundamentals,S013,Lead Generation,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S013-PRC,Applied Lead Generation,S013,Lead Generation,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S013-ADV,Advanced Lead Generation and Decision Practice,S013,Lead Generation,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S014-FND,Negotiation Essentials,S014,Negotiation,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S014-PRC,Negotiation in Practice,S014,Negotiation,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S014-ADV,Advanced Negotiation for Professional Growth,S014,Negotiation,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S015-FND,CRM Management Fundamentals,S015,CRM Management,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S015-PRC,Applied CRM Management,S015,CRM Management,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S015-ADV,Advanced CRM Management and Decision Practice,S015,CRM Management,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S016-FND,Account Management Fundamentals,S016,Account Management,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S016-PRC,Applied Account Management,S016,Account Management,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S016-ADV,Advanced Account Management and Decision Practice,S016,Account Management,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S017-FND,Pipeline Management Fundamentals,S017,Pipeline Management,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S017-PRC,Applied Pipeline Management,S017,Pipeline Management,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S017-ADV,Advanced Pipeline Management and Decision Practice,S017,Pipeline Management,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S018-FND,Product Knowledge Fundamentals,S018,Product Knowledge,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S018-PRC,Applied Product Knowledge,S018,Product Knowledge,Practitioner,30000,5,15,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S018-ADV,Advanced Product Knowledge and Decision Practice,S018,Product Knowledge,Advanced,48000,7,24,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
COURSE-S019-FND,Process Management Fundamentals,S019,Process Management,Foundation,18000,3,14,85,60,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
