Position_ID,Department_ID,Position_Title,Job_Level,Business_Impact_Score_1_5,Operational_Dependency_Score_1_5,Knowledge_Specialization_Score_1_5,Cross_Function_Dependency_Score_1_5,Max_Acceptable_Vacancy_Days,Promotion_Ramp_Up_Days,Transfer_Ramp_Up_Days,Business_Continuity_Weight_pct,Skill_Coverage_Weight_pct,Cost_Efficiency_Weight_pct,Assumption_Status,Assumption_Effective_Date
POS-001,DEPARTMENT-001,HR Manager,Lead/Manager,5,4,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-002,DEPARTMENT-003,Account Manager,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-003,DEPARTMENT-002,Financial Analyst,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-004,DEPARTMENT-002,Financial Analyst,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-005,DEPARTMENT-005,Software Engineer I,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-006,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-007,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-008,DEPARTMENT-002,Finance Manager,Lead/Manager,5,4,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-009,DEPARTMENT-004,Customer Support Manager,Lead/Manager,5,5,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-010,DEPARTMENT-005,Senior Software Engineer,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-011,DEPARTMENT-003,Sales Manager,Lead/Manager,5,4,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-012,DEPARTMENT-001,HR Manager,Lead/Manager,5,4,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-013,DEPARTMENT-001,HR Generalist,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-014,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-015,DEPARTMENT-005,Engineering Lead,Lead/Manager,5,4,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-016,DEPARTMENT-003,Account Manager,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-017,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-018,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-019,DEPARTMENT-007,Systems Administrator,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
