Skill_ID,Skill_Name,Course_ID,Course_Name,Course_Level,Target_Proficiency_Level,Relationship_Type,Mapping_Strength,Data_As_Of_Date
S001,Python Programming,COURSE-S001-FND,Python Programming Fundamentals,Foundation,2,DEVELOPS_SKILL,1.00,2026-08-01
S001,Python Programming,COURSE-S001-PRC,Applied Python Programming,Practitioner,3,DEVELOPS_SKILL,1.00,2026-08-01
S001,Python Programming,COURSE-S001-ADV,Advanced Python Programming and Decision Practice,Advanced,5,DEVELOPS_SKILL,1.00,2026-08-01
S002,SQL & Databases,COURSE-S002-FND,SQL & Databases Fundamentals,Foundation,2,DEVELOPS_SKILL,1.00,2026-08-01
S002,SQL & Databases,COURSE-S002-PRC,Applied SQL & Databases,Practitioner,3,DEVELOPS_SKILL,1.00,2026-08-01
S002,SQL & Databases,COURSE-S002-ADV,Advanced SQL & Databases and Decision Practice,Advanced,5,DEVELOPS_SKILL,1.00,2026-08-01
S003,API Development,COURSE-S003-FND,API Development Fundamentals,Foundation,2,DEVELOPS_SKILL,1.00,2026-08-01
S003,API Development,COURSE-S003-PRC,Applied API Development,Practitioner,3,DEVELOPS_SKILL,1.00,2026-08-01
S003,API Development,COURSE-S003-ADV,Advanced API Development and Decision Practice,Advanced,5,DEVELOPS_SKILL,1.00,2026-08-01
S004,Software Testing,COURSE-S004-FND,Software Testing Fundamentals,Foundation,2,DEVELOPS_SKILL,1.00,2026-08-01
S004,Software Testing,COURSE-S004-PRC,Applied Software Testing,Practitioner,3,DEVELOPS_SKILL,1.00,2026-08-01
S004,Software Testing,COURSE-S004-ADV,Advanced Software Testing and Decision Practice,Advanced,5,DEVELOPS_SKILL,1.00,2026-08-01
S005,System Design,COURSE-S005-FND,System Design Fundamentals,Foundation,2,DEVELOPS_SKILL,1.00,2026-08-01
S005,System Design,COURSE-S005-PRC,Applied System Design,Practitioner,3,DEVELOPS_SKILL,1.00,2026-08-01
S005,System Design,COURSE-S005-ADV,Advanced System Design and Decision Practice,Advanced,5,DEVELOPS_SKILL,1.00,2026-08-01
S006,DevOps & CI/CD,COURSE-S006-FND,DevOps & CI/CD Fundamentals,Foundation,2,DEVELOPS_SKILL,1.00,2026-08-01
S006,DevOps & CI/CD,COURSE-S006-PRC,Applied DevOps & CI/CD,Practitioner,3,DEVELOPS_SKILL,1.00,2026-08-01
S006,DevOps & CI/CD,COURSE-S006-ADV,Advanced DevOps & CI/CD and Decision Practice,Advanced,5,DEVELOPS_SKILL,1.00,2026-08-01
S007,Cloud Platforms,COURSE-S007-FND,Cloud Platforms Fundamentals,Foundation,2,DEVELOPS_SKILL,1.00,2026-08-01
S007,Cloud Platforms,COURSE-S007-PRC,Applied Cloud Platforms,Practitioner,3,DEVELOPS_SKILL,1.00,2026-08-01
S007,Cloud Platforms,COURSE-S007-ADV,Advanced Cloud Platforms and Decision Practice,Advanced,5,DEVELOPS_SKILL,1.00,2026-08-01
S008,Cybersecurity,COURSE-S008-FND,Cybersecurity Fundamentals,Foundation,2,DEVELOPS_SKILL,1.00,2026-08-01
S008,Cybersecurity,COURSE-S008-PRC,Applied Cybersecurity,Practitioner,3,DEVELOPS_SKILL,1.00,2026-08-01
S008,Cybersecurity,COURSE-S008-ADV,Advanced Cybersecurity and Decision Practice,Advanced,5,DEVELOPS_SKILL,1.00,2026-08-01
S009,Network Administration,COURSE-S009-FND,Network Administration Fundamentals,Foundation,2,DEVELOPS_SKILL,1.00,2026-08-01
S009,Network Administration,COURSE-S009-PRC,Applied Network Administration,Practitioner,3,DEVELOPS_SKILL,1.00,2026-08-01
S009,Network Administration,COURSE-S009-ADV,Advanced Network Administration and Decision Practice,Advanced,5,DEVELOPS_SKILL,1.00,2026-08-01
