Driver_Record_ID,Snapshot_Month,Department_ID,Department_Name,Demand_Driver_Name,Demand_Driver_Value,Measurement_Unit,Baseline_Driver_Value,Demand_Growth_Percentage,Expected_Staffing_Need,Demand_to_Approved_Headcount_Gap,Data_Pattern_Description,Data_As_Of_Date
DEMAND-HR-202409,2024-09-01,DEPARTMENT-001,HR,Employee Service Requests,583.0,Requests,600,-2.83,43,-1,Seasonal and trend-adjusted demand aligned to department operations,2024-09-28
DEMAND-HR-202410,2024-10-01,DEPARTMENT-001,HR,Employee Service Requests,614.2,Requests,600,2.37,45,1,Seasonal and trend-adjusted demand aligned to department operations,2024-10-28
DEMAND-HR-202411,2024-11-01,DEPARTMENT-001,HR,Employee Service Requests,594.4,Requests,600,-0.93,44,0,Seasonal and trend-adjusted demand aligned to department operations,2024-11-28
DEMAND-HR-202412,2024-12-01,DEPARTMENT-001,HR,Employee Service Requests,610.5,Requests,600,1.75,45,1,Seasonal and trend-adjusted demand aligned to department operations,2024-12-28
DEMAND-HR-202501,2025-01-01,DEPARTMENT-001,HR,Employee Service Requests,632.7,Requests,600,5.45,46,2,Seasonal and trend-adjusted demand aligned to department operations,2025-01-28
DEMAND-HR-202502,2025-02-01,DEPARTMENT-001,HR,Employee Service Requests,610.2,Requests,600,1.7,45,1,Seasonal and trend-adjusted demand aligned to department operations,2025-02-28
DEMAND-HR-202503,2025-03-01,DEPARTMENT-001,HR,Employee Service Requests,605.4,Requests,600,0.9,44,0,Seasonal and trend-adjusted demand aligned to department operations,2025-03-28
DEMAND-HR-202504,2025-04-01,DEPARTMENT-001,HR,Employee Service Requests,631.0,Requests,600,5.17,46,2,Seasonal and trend-adjusted demand aligned to department operations,2025-04-28
DEMAND-HR-202505,2025-05-01,DEPARTMENT-001,HR,Employee Service Requests,636.8,Requests,600,6.13,47,3,Seasonal and trend-adjusted demand aligned to department operations,2025-05-28
DEMAND-HR-202506,2025-06-01,DEPARTMENT-001,HR,Employee Service Requests,636.1,Requests,600,6.02,47,3,Seasonal and trend-adjusted demand aligned to department operations,2025-06-28
DEMAND-HR-202507,2025-07-01,DEPARTMENT-001,HR,Employee Service Requests,666.8,Requests,600,11.13,49,5,Seasonal and trend-adjusted demand aligned to department operations,2025-07-28
DEMAND-HR-202508,2025-08-01,DEPARTMENT-001,HR,Employee Service Requests,627.8,Requests,600,4.63,46,2,Seasonal and trend-adjusted demand aligned to department operations,2025-08-28
DEMAND-HR-202509,2025-09-01,DEPARTMENT-001,HR,Employee Service Requests,638.5,Requests,600,6.42,47,3,Seasonal and trend-adjusted demand aligned to department operations,2025-09-28
DEMAND-HR-202510,2025-10-01,DEPARTMENT-001,HR,Employee Service Requests,664.7,Requests,600,10.78,49,5,Seasonal and trend-adjusted demand aligned to department operations,2025-10-28
DEMAND-HR-202511,2025-11-01,DEPARTMENT-001,HR,Employee Service Requests,669.8,Requests,600,11.63,49,5,Seasonal and trend-adjusted demand aligned to department operations,2025-11-28
DEMAND-HR-202512,2025-12-01,DEPARTMENT-001,HR,Employee Service Requests,650.3,Requests,600,8.38,48,4,Seasonal and trend-adjusted demand aligned to department operations,2025-12-28
DEMAND-HR-202601,2026-01-01,DEPARTMENT-001,HR,Employee Service Requests,673.8,Requests,600,12.3,49,5,Seasonal and trend-adjusted demand aligned to department operations,2026-01-28
DEMAND-HR-202602,2026-02-01,DEPARTMENT-001,HR,Employee Service Requests,690.2,Requests,600,15.03,51,7,Seasonal and trend-adjusted demand aligned to department operations,2026-02-28
DEMAND-HR-202603,2026-03-01,DEPARTMENT-001,HR,Employee Service Requests,657.9,Requests,600,9.65,48,4,Seasonal and trend-adjusted demand aligned to department operations,2026-03-28
DEMAND-HR-202604,2026-04-01,DEPARTMENT-001,HR,Employee Service Requests,689.8,Requests,600,14.97,51,7,Seasonal and trend-adjusted demand aligned to department operations,2026-04-28
DEMAND-HR-202605,2026-05-01,DEPARTMENT-001,HR,Employee Service Requests,684.8,Requests,600,14.13,50,6,Seasonal and trend-adjusted demand aligned to department operations,2026-05-28
DEMAND-HR-202606,2026-06-01,DEPARTMENT-001,HR,Employee Service Requests,671.4,Requests,600,11.9,49,5,Seasonal and trend-adjusted demand aligned to department operations,2026-06-28
DEMAND-HR-202607,2026-07-01,DEPARTMENT-001,HR,Employee Service Requests,698.8,Requests,600,16.47,51,7,Seasonal and trend-adjusted demand aligned to department operations,2026-07-28
DEMAND-HR-202608,2026-08-01,DEPARTMENT-001,HR,Employee Service Requests,717.7,Requests,600,19.62,53,9,Seasonal and trend-adjusted demand aligned to department operations,2026-08-28
DEMAND-FIN-202409,2024-09-01,DEPARTMENT-002,Finance,Financial Transactions Processed,909.1,Transactions,900,1.01,46,0,Seasonal and trend-adjusted demand aligned to department operations,2024-09-28
DEMAND-FIN-202410,2024-10-01,DEPARTMENT-002,Finance,Financial Transactions Processed,899.6,Transactions,900,-0.04,46,0,Seasonal and trend-adjusted demand aligned to department operations,2024-10-28
DEMAND-FIN-202411,2024-11-01,DEPARTMENT-002,Finance,Financial Transactions Processed,945.2,Transactions,900,5.02,48,2,Seasonal and trend-adjusted demand aligned to department operations,2024-11-28
DEMAND-FIN-202412,2024-12-01,DEPARTMENT-002,Finance,Financial Transactions Processed,983.5,Transactions,900,9.28,50,4,Seasonal and trend-adjusted demand aligned to department operations,2024-12-28
DEMAND-FIN-202501,2025-01-01,DEPARTMENT-002,Finance,Financial Transactions Processed,991.3,Transactions,900,10.14,52,5,Seasonal and trend-adjusted demand aligned to department operations,2025-01-28
DEMAND-FIN-202502,2025-02-01,DEPARTMENT-002,Finance,Financial Transactions Processed,929.8,Transactions,900,3.31,49,2,Seasonal and trend-adjusted demand aligned to department operations,2025-02-28
DEMAND-FIN-202503,2025-03-01,DEPARTMENT-002,Finance,Financial Transactions Processed,932.1,Transactions,900,3.57,49,2,Seasonal and trend-adjusted demand aligned to department operations,2025-03-28
DEMAND-FIN-202504,2025-04-01,DEPARTMENT-002,Finance,Financial Transactions Processed,945.9,Transactions,900,5.1,49,2,Seasonal and trend-adjusted demand aligned to department operations,2025-04-28
DEMAND-FIN-202505,2025-05-01,DEPARTMENT-002,Finance,Financial Transactions Processed,930.8,Transactions,900,3.42,49,2,Seasonal and trend-adjusted demand aligned to department operations,2025-05-28
DEMAND-FIN-202506,2025-06-01,DEPARTMENT-002,Finance,Financial Transactions Processed,1002.7,Transactions,900,11.41,52,5,Seasonal and trend-adjusted demand aligned to department operations,2025-06-28
DEMAND-FIN-202507,2025-07-01,DEPARTMENT-002,Finance,Financial Transactions Processed,975.5,Transactions,900,8.39,51,4,Seasonal and trend-adjusted demand aligned to department operations,2025-07-28
